HS2,HS2 Description,Rank,Country of Origin,BaselineShare,BaselineSharePct,Old Tariff,Old TariffPct
85,Machinery and electrical equipment,1,China,0.2909611884619834,29.096118846198337,0.26523490668223987,26.523490668223985
85,Machinery and electrical equipment,2,Mexico,0.2143980215962471,21.439802159624712,0.026914276422060283,2.6914276422060284
85,Machinery and electrical equipment,3,Vietnam,0.12245486325041287,12.245486325041286,0.04858563866023979,4.858563866023979
85,Machinery and electrical equipment,4,Taiwan,0.07631427253084946,7.631427253084946,0.034647319423637996,3.4647319423637994
85,Machinery and electrical equipment,5,Malaysia,0.07346583027516669,7.346583027516669,0.040055955382265016,4.005595538226501
85,Machinery and electrical equipment,6,Thailand,0.056609792588302746,5.660979258830275,0.04014658317071361,4.014658317071361
85,Machinery and electrical equipment,7,"Korea, South",0.05216899693036571,5.216899693036571,0.05433373068319671,5.433373068319671
85,Machinery and electrical equipment,8,Japan,0.04729422181874141,4.729422181874141,0.09358371347212054,9.358371347212053
85,Machinery and electrical equipment,9,India,0.03842465516935063,3.8424655169350634,0.032634160164993285,3.2634160164993284
85,Machinery and electrical equipment,10,Germany,0.027908157378579934,2.7908157378579936,0.08858444018532369,8.858444018532369
87,Automotive and bicycle parts,1,Mexico,0.374446852070397,37.444685207039704,0.08101059576935558,8.101059576935558
87,Automotive and bicycle parts,2,Japan,0.15052752641359368,15.052752641359369,0.16458285999339078,16.45828599933908
87,Automotive and bicycle parts,3,Canada,0.14773150810253008,14.773150810253007,0.06689566272928439,6.689566272928439
87,Automotive and bicycle parts,4,"Korea, South",0.10947165116090578,10.947165116090577,0.15575799150905864,15.575799150905864
87,Automotive and bicycle parts,5,Germany,0.09889938164347334,9.889938164347335,0.14816964636184696,14.816964636184697
87,Automotive and bicycle parts,6,China,0.0459885272734626,4.5988527273462605,0.5179436765868369,51.79436765868369
87,Automotive and bicycle parts,7,United Kingdom,0.02965917146131208,2.965917146131208,0.10266448941862664,10.266448941862665
87,Automotive and bicycle parts,8,Slovakia,0.016554994830028525,1.6554994830028524,0.16593407468285967,16.593407468285967
87,Automotive and bicycle parts,9,Italy,0.015219343510623642,1.5219343510623642,0.11860086912482189,11.860086912482188
87,Automotive and bicycle parts,10,Sweden,0.011501043533673259,1.1501043533673259,0.14628503837966497,14.628503837966496
94,Furniture and bedding,1,China,0.3184643683882134,31.84643683882134,0.39415449402037633,39.41544940203763
94,Furniture and bedding,2,Vietnam,0.21830169100465854,21.830169100465856,0.09778532634937685,9.778532634937685
94,Furniture and bedding,3,Mexico,0.21430791697482213,21.430791697482213,0.02689462597014637,2.689462597014637
94,Furniture and bedding,4,Canada,0.0915541387549653,9.15541387549653,0.021900252744622022,2.190025274462202
94,Furniture and bedding,5,Italy,0.033169448433019375,3.3169448433019375,0.09536159091338559,9.536159091338558
94,Furniture and bedding,6,Malaysia,0.029349216734368577,2.9349216734368575,0.09548021717568582,9.548021717568583
94,Furniture and bedding,7,Indonesia,0.027575277636782036,2.7575277636782034,0.0787441634555093,7.87441634555093
